timestamp,frame,px,py,pvx,pvy,a_attack,a_dash,a_idle,aim
0.020,0,0.0000,0.0000,0.0000,0.0000,0,0,1,1.9684
0.068,1,0.0000,-0.0827,0.0000,-2.4000,0,0,0,1.8711
0.102,2,0.0000,-0.1640,0.0000,-2.4000,0,0,0,1.8632
0.137,3,0.0000,-0.2480,0.0000,-2.4000,0,0,0,1.8561
0.169,4,0.0000,-0.3257,0.0000,-2.4000,0,0,0,1.8501
0.206,5,0.0000,-0.4138,0.0000,-2.4000,0,0,0,1.8685
0.234,6,0.0000,-0.4826,0.0000,-2.4000,0,0,0,1.9504
0.270,7,0.0000,-0.5676,0.0000,-2.4000,0,0,0,2.0281
0.304,8,-0.0067,-0.6467,-1.6971,-1.6971,0,0,0,2.1017
0.334,9,-0.0581,-0.6981,-1.6971,-1.6971,0,0,0,2.1871
0.371,10,-0.1206,-0.7606,-1.6971,-1.6971,0,0,0,2.2358
0.402,11,-0.1728,-0.8128,-1.6971,-1.6971,0,0,0,2.2395
0.436,12,-0.2316,-0.8716,-1.6971,-1.6971,0,0,0,2.2554
0.471,13,-0.2903,-0.9303,-1.6971,-1.6971,0,0,0,2.2910
0.504,14,-0.3459,-0.9859,-1.6971,-1.6971,0,0,0,2.3291
0.535,15,-0.3995,-1.0395,-1.6971,-1.6971,0,0,0,2.3461
0.567,16,-0.4530,-1.0930,-1.6971,-1.6971,0,0,0,2.3398
0.601,17,-0.5112,-1.1512,-1.6971,-1.6971,0,0,0,2.3321
0.636,18,-0.5703,-1.2103,-1.6971,-1.6971,0,0,0,2.3341
0.673,19,-0.6324,-1.2724,-1.6971,-1.6971,0,0,0,2.3319
0.701,20,-0.6809,-1.3209,-1.6971,-1.6971,1,0,0,2.2956
0.746,21,-0.7561,-1.3961,-1.6971,-1.6971,0,0,0,2.2357
0.771,22,-0.7999,-1.4399,-1.6971,-1.6971,0,0,0,2.1927
0.807,23,-0.8611,-1.5011,-1.6971,-1.6971,0,0,0,2.2001
0.838,24,-0.9129,-1.5529,-1.6971,-1.6971,0,0,0,2.1943
0.868,25,-0.9633,-1.6033,-1.6971,-1.6971,0,0,0,2.1960
0.901,26,-1.0205,-1.6605,-1.6971,-1.6971,0,0,0,2.1892
0.935,27,-1.0776,-1.7176,-1.6971,-1.6971,0,0,0,2.1660
0.969,28,-1.1349,-1.7749,-1.6971,-1.6971,0,0,0,2.1162
1.005,29,-1.1965,-1.8365,-1.6971,-1.6971,0,0,0,2.0567
1.035,30,-1.2466,-1.8866,-1.6971,-1.6971,0,0,0,2.0307
1.071,31,-1.3091,-1.9491,-1.6971,-1.6971,0,0,0,2.0262
1.101,32,-1.3590,-1.9990,-1.6971,-1.6971,0,0,0,2.0224
1.134,33,-1.4153,-2.0553,-1.6971,-1.6971,0,0,0,2.0256
1.169,34,-1.4761,-2.1108,-2.4000,0.0000,0,0,0,2.0145
1.206,35,-1.5648,-2.1108,-2.4000,0.0000,0,0,0,1.9982
1.234,36,-1.6334,-2.1108,-2.4000,0.0000,0,0,0,1.9547
1.268,37,-1.7134,-2.1108,-2.4000,0.0000,0,0,0,1.9348
1.303,38,-1.7971,-2.1108,-2.4000,0.0000,0,0,0,1.9181
1.336,39,-1.8772,-2.1108,-2.4000,0.0000,0,0,0,1.8939
1.369,40,-1.9563,-2.1108,-2.4000,0.0000,1,0,0,1.8859
1.400,41,-2.0314,-2.1101,-1.6971,1.6971,0,0,0,1.8793
1.435,42,-2.0895,-2.0521,-1.6971,1.6971,0,0,0,1.8796
1.468,43,-2.1461,-1.9955,-1.6971,1.6971,0,0,0,1.8867
1.502,44,-2.2041,-1.9374,-1.6971,1.6971,0,0,0,1.8708
1.538,45,-2.2647,-1.8768,-1.6971,1.6971,0,0,0,1.8458
1.568,46,-2.3152,-1.8264,-1.6971,1.6971,0,0,0,1.8507
1.602,47,-2.3734,-1.7682,-1.6971,1.6971,0,0,0,1.8524
1.636,48,-2.4309,-1.7106,-1.6971,1.6971,0,0,0,1.8315
1.672,49,-2.4926,-1.6490,-1.6971,1.6971,0,0,0,1.8074
1.704,50,-2.5464,-1.5951,-1.6971,1.6971,0,0,0,1.7907
1.738,51,-2.6050,-1.5366,-1.6971,1.6971,0,0,0,1.7658
1.771,52,-2.6599,-1.4817,-1.6971,1.6971,0,0,0,1.7294
1.802,53,-2.7124,-1.4291,-1.6971,1.6971,0,0,0,1.7220
1.839,54,-2.7796,-1.3754,-2.4000,0.0000,0,0,0,1.7419
1.871,55,-2.8563,-1.3754,-2.4000,0.0000,0,0,0,1.7894
1.902,56,-2.9312,-1.3754,-2.4000,0.0000,0,0,0,1.8300
1.937,57,-3.0147,-1.3754,-2.4000,0.0000,0,0,0,1.8381
1.969,58,-3.0921,-1.3754,-2.4000,0.0000,0,0,0,1.8304
2.001,59,-3.1693,-1.3754,-2.4000,0.0000,0,0,0,1.8276
2.036,60,-3.2514,-1.3754,-2.4000,0.0000,0,0,0,1.8213
2.067,61,-3.3270,-1.3754,-2.4000,0.0000,0,0,0,1.8032
2.101,62,-3.4088,-1.3754,-2.4000,0.0000,0,0,0,1.8009
2.138,63,-3.4979,-1.3754,-2.4000,0.0000,0,0,0,1.7694
2.169,64,-3.5720,-1.3754,-2.4000,0.0000,0,0,0,1.7230
2.202,65,-3.6505,-1.3754,-2.4000,0.0000,0,0,0,1.7149
2.235,66,-3.7312,-1.3754,-2.4000,0.0000,0,0,0,1.7111
2.272,67,-3.8188,-1.3754,-2.4000,0.0000,0,0,0,1.6936
2.302,68,-3.8903,-1.3754,-2.4000,0.0000,0,0,0,1.6627
2.337,69,-3.9717,-1.3698,-1.6971,1.6971,0,0,0,1.6565
2.368,70,-4.0256,-1.3159,-1.6971,1.6971,0,0,0,1.6519
2.402,71,-4.0828,-1.2587,-1.6971,1.6971,0,0,0,1.6636
2.434,72,-4.1376,-1.2040,-1.6971,1.6971,0,0,0,1.6439
2.470,73,-4.1988,-1.1428,-1.6971,1.6971,0,0,0,1.6519
2.502,74,-4.2517,-1.0899,-1.6971,1.6971,0,0,0,1.6399
2.534,75,-4.3072,-1.0343,-1.6971,1.6971,0,0,0,1.6212
2.570,76,-4.3684,-0.9731,-1.6971,1.6971,0,0,0,1.6242
2.601,77,-4.4204,-0.9268,-1.0564,0.0954,0,0,0,1.6137
2.636,78,-4.8233,-0.5258,-0.2988,0.1741,0,1,0,1.6208
2.672,79,-4.8622,-0.5075,-1.6971,1.6971,0,1,0,1.4333
2.703,80,-5.7340,0.3869,-1.6971,1.6971,0,1,0,1.4536
2.738,81,-6.3912,1.0440,-1.6971,1.6971,0,1,0,0.9382
2.769,82,-6.5453,1.1981,-1.6971,1.6971,0,1,0,0.2285
2.805,83,-6.5504,1.2032,-1.6971,1.6971,0,0,0,-0.0489
2.836,84,-6.6020,1.2549,-1.6971,1.6971,0,0,0,-0.2688
2.873,85,-6.6650,1.3178,-1.6971,1.6971,0,0,0,-0.3727
2.904,86,-6.7178,1.3707,-1.6971,1.6971,0,0,0,-0.5267
2.936,87,-6.7727,1.4256,-1.6971,1.6971,0,0,0,-0.6096
2.970,88,-6.8303,1.4832,-1.6971,1.6971,0,0,0,-0.6682
3.007,89,-6.8936,1.5465,-1.6971,1.6971,0,0,0,-0.7494
3.034,90,-6.9396,1.5925,-1.6971,1.6971,0,0,0,-0.8119
3.068,91,-6.9970,1.6498,-1.6971,1.6971,0,0,0,-0.8299
3.102,92,-7.0537,1.7066,-1.6971,1.6971,0,0,0,-0.8305
3.137,93,-7.1074,1.7685,0.0000,2.4000,0,0,0,-0.8314
3.167,94,-7.1074,1.8419,0.0000,2.4000,0,0,0,-0.8438
3.202,95,-7.1074,1.9255,0.0000,2.4000,0,0,0,-0.8422
3.235,96,-7.1074,2.0050,0.0000,2.4000,0,0,0,-0.8193
3.268,97,-7.1074,2.0836,0.0000,2.4000,0,0,0,-0.8227
3.304,98,-7.1074,2.1709,0.0000,2.4000,0,0,0,-0.8310
3.336,99,-7.1074,2.2455,0.0000,2.4000,0,0,0,-0.8397
3.368,100,-7.1074,2.3231,0.0000,2.4000,0,0,0,-0.8298
3.406,101,-7.0976,2.4100,1.6971,1.6971,0,0,0,-0.8381
3.435,102,-7.0480,2.4596,1.6971,1.6971,1,0,0,-0.8472
3.470,103,-6.9885,2.5191,1.6971,1.6971,0,0,0,-0.8546
3.504,104,-6.9314,2.5762,1.6971,1.6971,0,0,0,-0.8672
3.535,105,-6.8778,2.6298,1.6971,1.6971,0,0,0,-0.8756
3.568,106,-6.8223,2.6853,1.6971,1.6971,0,0,0,-0.8906
3.601,107,-6.7657,2.7419,1.6971,1.6971,0,0,0,-0.9031
3.638,108,-6.7041,2.8035,1.6971,1.6971,0,0,0,-0.9477
3.668,109,-6.6518,2.8558,1.6971,1.6971,0,0,0,-1.0069
3.700,110,-6.5977,2.9099,1.6971,1.6971,0,0,0,-1.0416
3.734,111,-6.5401,2.9675,1.6971,1.6971,0,0,0,-1.0759
3.772,112,-6.4767,3.0309,1.6971,1.6971,0,0,0,-1.1143
3.801,113,-6.4264,3.0812,1.6971,1.6971,0,0,0,-1.1678
3.834,114,-6.3704,3.1372,1.6971,1.6971,0,0,0,-1.2067
3.868,115,-6.3129,3.1947,1.6971,1.6971,0,0,0,-1.2412
3.901,116,-6.2564,3.2512,1.6971,1.6971,0,0,0,-1.2515
3.936,117,-6.1975,3.3101,1.6971,1.6971,0,0,0,-1.2533
3.971,118,-6.1390,3.3686,1.6971,1.6971,0,0,0,-1.2657
4.005,119,-6.0798,3.4278,1.6971,1.6971,0,0,0,-1.2921
4.039,120,-6.0231,3.4845,1.6971,1.6971,0,0,0,-1.3045
4.068,121,-5.9744,3.5332,1.6971,1.6971,0,0,0,-1.3157
4.105,122,-5.9109,3.5967,1.6971,1.6971,1,0,0,-1.3249
4.137,123,-5.8564,3.6512,1.6971,1.6971,0,0,0,-1.3888
4.167,124,-5.8049,3.7027,1.6971,1.6971,0,0,0,-1.4063
4.206,125,-5.7390,3.7686,1.6971,1.6971,0,0,0,-1.4145
4.235,126,-5.6912,3.8165,1.6971,1.6971,0,0,0,-1.4312
4.268,127,-5.6342,3.8710,2.4000,0.0000,0,0,0,-1.4258
4.301,128,-5.5544,3.8710,2.4000,0.0000,0,0,0,-1.4491
